ID,name,category,gender,follower_count,platform
1,Kelly Hughes,Health,Female,496505,Instagram
2,Jeffrey Taylor,Nutrition,Male,556171,Twitter
3,Daniel Jones,Lifestyle,Female,243533,YouTube
4,William Rodriguez,Nutrition,Female,714335,YouTube
5,Kristin Ross,Lifestyle,Male,194242,YouTube
6,Matthew Kelley,Health,Male,704025,Twitter
7,Ashley Singh,Nutrition,Female,508632,Instagram
8,Jennifer Allen,Nutrition,Female,290351,Twitter
9,Ana Galloway,Lifestyle,Male,869698,Instagram
10,Monica Barnett,Lifestyle,Male,622600,YouTube
11,Diana Yu,Nutrition,Female,33387,YouTube
12,Paul Thompson,Lifestyle,Male,687670,Instagram
13,Kevin Thompson,Fitness,Female,364544,Twitter
14,Sandra Suarez,Fitness,Female,48535,YouTube
15,Rita Hunter,Health,Male,918748,Twitter
16,Linda Neal,Health,Female,445742,YouTube
17,Andrea Farmer,Nutrition,Male,852136,YouTube
18,Carlos Kennedy,Fitness,Female,700606,Instagram
19,Michael Sanders,Nutrition,Female,302085,YouTube
20,Laura White,Nutrition,Female,344424,Instagram
21,Adam Knight,Health,Female,231124,Twitter
22,Anthony Fitzgerald,Nutrition,Male,329434,YouTube
23,Destiny Costa,Nutrition,Female,201495,Twitter
24,Susan Torres,Nutrition,Male,911595,YouTube
25,Robert Chapman,Nutrition,Female,263960,Instagram
26,Rebecca Cooper,Health,Male,627493,Instagram
27,Amber Rivera,Lifestyle,Female,95542,YouTube
28,Jesse Coleman,Nutrition,Male,989343,YouTube
29,Christopher Jacobson,Lifestyle,Female,705215,Twitter
30,Jacqueline Wright,Lifestyle,Male,424366,YouTube
